,topk_ret,Cosine
0,Chunk10,0.6256756837134103
1,Chunk11,0.6261211177045836
2,Chunk12,0.617582817986075
3,Chunk13,0.6262387215478713
4,Chunk15,0.6086403843364789
5,Chunk20,0.6138930256768786
6,Chunk25,0.6104254175335845
7,Chunk3,0.634083541012364
8,Chunk5,0.6361995720061516
9,Chunk50,0.618343359381467
10,Chunk7,0.6264224369301767
11,Chunk8,0.6339395602126496
12,Chunk9,0.6229289261647137
13,Document1,0.5976850849591833
14,Document2,0.5853061156938847
15,Document3,0.5785057437342609
16,Document4,0.5696262501058107
17,Neighbor12,0.6121911635499897
18,Neighbor25,0.6079743559870403
19,Neighbor3,0.6218011401960156
20,Neighbor4,0.6199826886921748
21,Neighbor50,0.6020943172217382
22,Neighbor7,0.6096616317793261
