topk_ret,BLEU,Cosine,similarity_score
Chunk10,0.05784915018928352,0.6256756837134103,0.532972972972973
Chunk11,0.0577179522399889,0.6261211177045836,0.5281981981981982
Chunk12,0.05643333833713202,0.617582817986075,0.5278378378378378
Chunk13,0.057182409307681946,0.6262387215478713,0.5262162162162162
Chunk15,0.05715288823982803,0.6086403843364789,0.5285585585585586
Chunk20,0.05693589753472187,0.6138930256768786,0.5277477477477478
Chunk25,0.05752067764892673,0.6104254175335845,0.5264864864864864
Chunk3,0.05782739929050361,0.634083541012364,0.529099099099099
Chunk5,0.05586976916976412,0.6361995720061516,0.5276576576576576
Chunk50,0.05936582548281423,0.618343359381467,0.5313513513513514
Chunk7,0.05749268325771816,0.6264224369301767,0.5317117117117117
Chunk8,0.058431969800979214,0.6339395602126496,0.5302702702702703
Chunk9,0.05519113277815541,0.6229289261647137,0.53
Document1,0.048306985924553326,0.5976850849591833,0.5146846846846846
Document2,0.046644952199156056,0.5853061156938847,0.5127027027027027
Document3,0.04645324513750614,0.5785057437342609,0.5133333333333333
Document4,0.04550228285533387,0.5696262501058107,0.5117117117117117
Neighbor12,0.05348567931213301,0.6121911635499897,0.5254054054054054
Neighbor25,0.05313455324246306,0.6079743559870403,0.5228828828828829
Neighbor3,0.054044885513998824,0.6218011401960156,0.5251351351351352
Neighbor4,0.051759330803155465,0.6199826886921748,0.5211711711711712
Neighbor50,0.048305231961085826,0.6020943172217382,0.5177477477477478
Neighbor7,0.05284773159335433,0.6096616317793261,0.5251351351351352
